k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
11,15,RAB,1,1,49,5,0,FORCED,1,1584,1120
11,15,RAB,1,2,49,6,0,FORCED,2,1584,1960
11,15,RAB,1,3,49,5,1,FORCED,3,1584,2480
11,15,RAB,1,4,49,5,2,FORCED,4,1584,2920
11,15,RAB,1,5,49,5,3,FORCED,5,1584,3300
11,15,RAB,1,6,49,5,4,FORCED,6,1584,3580
11,15,RAB,1,7,49,6,1,FORCED,7,1584,3760
11,15,RAB,1,8,49,6,2,FORCED,8,1584,3910
11,15,RAB,1,9,49,6,3,FORCED,9,1584,4020
11,15,RAB,1,10,49,6,4,FORCED,10,1584,4110
11,15,RAB,1,11,49,3,0,not_forced,10,1584,4190
11,15,RAB,1,12,49,4,0,not_forced,10,1584,4260
11,15,RAB,1,13,49,1,0,not_forced,10,1584,4340
11,15,RAB,1,14,49,2,0,not_forced,10,1584,4420
11,15,RAB,1,15,49,3,1,not_forced,10,1584,4510
11,15,RAB,1,16,49,3,2,not_forced,10,1584,4600
11,15,RAB,1,17,49,3,3,not_forced,10,1584,4680
11,15,RAB,1,18,49,3,4,not_forced,10,1584,4770
11,15,RAB,1,19,49,4,1,not_forced,10,1584,4860
11,15,RAB,1,20,49,4,2,not_forced,10,1584,4950
11,15,RAB,1,21,49,4,3,not_forced,10,1584,5030
11,15,RAB,1,22,49,4,4,not_forced,10,1584,5120
11,15,RAB,1,23,49,5,5,not_forced,10,1584,5220
11,15,RAB,1,24,49,5,6,not_forced,10,1584,5300
11,15,RAB,1,25,49,6,5,not_forced,10,1584,5380
11,15,RAB,1,26,49,6,6,not_forced,10,1584,5470
11,15,RAB,1,27,49,1,1,not_forced,10,1584,6280
11,15,RAB,1,28,49,1,2,not_forced,10,1584,7090
11,15,RAB,1,29,49,1,3,not_forced,10,1584,7890
11,15,RAB,1,30,49,1,4,not_forced,10,1584,8690
11,15,RAB,1,31,49,2,1,not_forced,10,1584,9500
11,15,RAB,1,32,49,2,2,not_forced,10,1584,10300
11,15,RAB,1,33,49,2,3,not_forced,10,1584,11110
11,15,RAB,1,34,49,2,4,not_forced,10,1584,11910
11,15,RAB,1,35,49,3,5,not_forced,10,1584,12030
11,15,RAB,1,36,49,3,6,not_forced,10,1584,12150
11,15,RAB,1,37,49,4,5,not_forced,10,1584,12260
11,15,RAB,1,38,49,4,6,not_forced,10,1584,12360
11,15,RAB,1,39,49,0,0,not_forced,10,1584,14530
11,15,RAB,1,40,49,1,5,not_forced,10,1584,15320
11,15,RAB,1,41,49,1,6,not_forced,10,1584,16040
11,15,RAB,1,42,49,2,5,not_forced,10,1584,16820
11,15,RAB,1,43,49,2,6,not_forced,10,1584,17530
11,15,RAB,1,44,49,0,1,not_forced,10,1584,19700
11,15,RAB,1,45,49,0,2,not_forced,10,1584,21860
11,15,RAB,1,46,49,0,3,not_forced,10,1584,24020
11,15,RAB,1,47,49,0,4,not_forced,10,1584,26180
11,15,RAB,1,48,49,0,5,not_forced,10,1584,28350
11,15,RAB,1,49,49,0,6,not_forced,10,1584,30510
FINAL_RAB,11,15,1584,39,true,32110
11,15,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,10,1584,32110
FORCED_VARS,11,15,10,p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
